Date,Product,Quantity,Price,Customer
2023-06-28,Product_9,6,30.3230092144011,Customer_89
2023-09-08,Product_2,10,92.87741798541236,Customer_82
2023-04-11,Product_5,6,40.433955017087285,Customer_6
2023-09-09,Product_8,7,33.573742535188515,Customer_43
2023-07-24,Product_10,7,78.16867521361347,Customer_20
2023-02-11,Product_7,5,15.508765498707294,Customer_81
2023-01-15,Product_8,2,61.28594882699341,Customer_92
2023-06-16,Product_4,7,46.64113102297249,Customer_72
2023-03-12,Product_5,4,86.62644382817112,Customer_15
2023-09-19,Product_5,5,70.44944633915449,Customer_28
2023-01-06,Product_8,3,17.61794615344663,Customer_33
2023-03-15,Product_6,10,60.956599080545345,Customer_86
2023-07-09,Product_8,2,13.851283105416279,Customer_72
2023-03-25,Product_8,2,87.76130089137273,Customer_16
2023-07-03,Product_1,5,59.01624363670863,Customer_20
2023-08-24,Product_6,10,20.605008106308148,Customer_41
2023-06-08,Product_9,5,41.67166740448519,Customer_78
2023-10-12,Product_5,8,35.905360637378585,Customer_29
2023-01-11,Product_3,4,87.24486776326727,Customer_19
2023-01-19,Product_4,2,24.022954463442744,Customer_37
2023-02-15,Product_9,10,35.82707719998464,Customer_50
2023-05-05,Product_3,10,13.183520542447036,Customer_86
2023-03-15,Product_6,3,56.08060676428029,Customer_32
2023-06-04,Product_1,4,99.84489561852814,Customer_13
2023-12-12,Product_8,5,57.50102690385652,Customer_71
2023-09-01,Product_4,9,28.691729494726733,Customer_37
2023-07-04,Product_1,9,78.03153582241953,Customer_63
2023-12-14,Product_4,4,42.67139950041899,Customer_72
2023-04-17,Product_5,8,88.3342139566286,Customer_19
2023-10-19,Product_7,5,85.2368626598591,Customer_91
2023-05-19,Product_5,10,49.09991939126479,Customer_19
2023-11-09,Product_7,5,67.36721534899698,Customer_81
2023-09-24,Product_7,10,32.55912737583725,Customer_66
2023-10-02,Product_2,3,47.06998154274847,Customer_53
2023-10-14,Product_8,5,60.46597105922511,Customer_51
2023-04-06,Product_7,8,10.13747422198317,Customer_95
2023-03-23,Product_10,7,30.262876678796385,Customer_15
2023-12-25,Product_8,1,11.205683731013178,Customer_96
2023-02-11,Product_9,5,57.94238963072752,Customer_76
2023-10-24,Product_8,5,16.858463936972484,Customer_34
2023-12-25,Product_6,8,82.29982508875416,Customer_58
2023-04-06,Product_5,3,34.8533290211238,Customer_42
2023-08-01,Product_7,7,33.029006802772244,Customer_81
2023-07-15,Product_8,6,21.83657518528933,Customer_86
2023-01-27,Product_7,9,60.15331421818691,Customer_45
2023-09-17,Product_10,1,12.43821762844365,Customer_72
2023-02-22,Product_5,5,87.79265948220106,Customer_65
2023-06-26,Product_7,4,48.709815380471376,Customer_51
2023-10-19,Product_5,7,16.66221887841849,Customer_88
2023-11-18,Product_9,4,69.70678446277483,Customer_18
2023-07-24,Product_2,1,54.04056048801123,Customer_19
2023-10-23,Product_4,2,53.726236027325754,Customer_85
2023-02-14,Product_8,6,20.045500581808234,Customer_54
2023-08-26,Product_7,5,26.61631380471877,Customer_13
2023-02-03,Product_4,4,94.21540529869576,Customer_91
2023-11-27,Product_6,10,70.82830697433121,Customer_47
2023-07-04,Product_9,6,42.19643658347142,Customer_14
2023-12-06,Product_5,1,61.15968136773869,Customer_71
2023-01-17,Product_1,9,40.67437398563395,Customer_75
2023-06-19,Product_10,8,17.46316746003162,Customer_19
2023-11-12,Product_4,2,46.52019377749073,Customer_35
2023-11-23,Product_1,6,26.580011187018837,Customer_10
2023-11-28,Product_1,1,70.25352497834893,Customer_72
2023-09-22,Product_5,4,24.05070468996066,Customer_33
2023-02-23,Product_4,7,28.047630976732506,Customer_92
2023-10-06,Product_7,5,59.334573673677596,Customer_38
2023-03-12,Product_10,3,76.00400631383812,Customer_73
2023-12-05,Product_3,3,74.73609230134998,Customer_95
2023-03-04,Product_4,2,57.683674570497764,Customer_91
2023-03-26,Product_4,9,67.73477369161127,Customer_82
2023-04-21,Product_6,3,84.29548443080404,Customer_12
2023-06-08,Product_5,8,93.04649352783969,Customer_37
2023-06-09,Product_6,4,94.08534343243142,Customer_7
2023-01-16,Product_5,3,19.895975262357027,Customer_65
2023-11-19,Product_2,4,95.75387350103527,Customer_91
2023-08-05,Product_1,4,51.6091075967952,Customer_25
2023-06-09,Product_2,7,41.003117797707496,Customer_41
2023-08-28,Product_8,1,47.973911468040015,Customer_40
2023-10-19,Product_10,7,66.74259659427337,Customer_70
